Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2068,2068,1000 persons,1668.672000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2069,2069,1000 persons,1653.485000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2070,2070,1000 persons,1638.175000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2071,2071,1000 persons,1622.752000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2072,2072,1000 persons,1607.204000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2073,2073,1000 persons,1591.552000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2074,2074,1000 persons,1575.875000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2075,2075,1000 persons,1560.184000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2076,2076,1000 persons,1544.472000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2077,2077,1000 persons,1528.778000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2078,2078,1000 persons,1513.159000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2079,2079,1000 persons,1497.627000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2080,2080,1000 persons,1482.154000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2081,2081,1000 persons,1466.778000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2082,2082,1000 persons,1451.533000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2083,2083,1000 persons,1436.449000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2084,2084,1000 persons,1421.544000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2085,2085,1000 persons,1406.828000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2086,2086,1000 persons,1392.296000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2087,2087,1000 persons,1377.955000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2088,2088,1000 persons,1363.819000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2089,2089,1000 persons,1349.883000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2090,2090,1000 persons,1336.147000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2091,2091,1000 persons,1322.601000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2092,2092,1000 persons,1309.280000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2093,2093,1000 persons,1296.175000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2094,2094,1000 persons,1283.271000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2095,2095,1000 persons,1270.572000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2096,2096,1000 persons,1258.065000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2097,2097,1000 persons,1245.738000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2098,2098,1000 persons,1233.585000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2099,2099,1000 persons,1221.601000,X,
154,'807,North Macedonia,3010,Population - Est. & Proj.,511,Total Population - Both sexes,2100,2100,1000 persons,1209.753000,X,
